"clinic_name","clinic_addr_line1","clinic_suite","clinic_addr_line2","clinic_city_desc","clinic_state_desc","clinic_zip","county_desc","total_volume_ordered","most_recent_order_date","georeferenced_latitude_longitude","total_pfizer_ordered","total_moderna_ordered","total_janssen_ordered"
"Sams Club Store #8160","5314 ALLENTOWN PIKE",,,"TEMPLE","Pennsylvania","19560","Berks",,,"POINT (-75.924069 40.412416)",,,
"Warren General Hospital","2 W Crescent Park",,,"Warren","Pennsylvania","16365","Warren","200","2021-04-13T00:00:00.000","POINT (-79.153237 41.843719)",,,
"Trinity Pharmacy A PharMerica Company","3910 Adler Place STE 210",,,"Bethlehem (Part-Lehigh)","Pennsylvania","18017","Northampton",,,"POINT (-75.38244 40.669726)",,,
"STATE COLLEGE DIALYSIS","500 SCIENCE PARK RD","2",,"State College","Pennsylvania","16803","Centre","400","2021-04-13T00:00:00.000","POINT (-77.897885 40.780322)",,,
"CVS Pharmacy # 7863","160 South Main Street",,,"Doylestown","Pennsylvania","18901","Bucks",,,"POINT (-75.129175 40.306314)",,,
"Bensalem Pharmacy","2112 Street Road",,,"Bensalem","Pennsylvania","19020","Bucks","200","2021-04-13T00:00:00.000","POINT (-74.947868 40.099555)",,,
"Giant Eagle Pharmacy-19","1233-1245 Broad St",,,"Johnstown","Pennsylvania","15906","Cambria",,,"POINT (-78.93981 40.34574)",,,
"GIANT PHARMACY-6084","2670 EGYPT ROAD",,,"NORRISTOWN","PA","19403","Montgomery",,,"POINT (-75.405366 40.130509)",,,
"The Medicine Shoppe 2057","101 W LANCASTER AVE",,,"Reading","Pennsylvania","19607","Berks","1270","2021-04-13T00:00:00.000","POINT (-75.970027 40.304008)",,,
"RITE AID STORE #10891","843 ROSTRAVER ROAD",,,"BELLE VERNON","Pennsylvania","15012","Fayette",,,"POINT (-79.842985 40.13649)",,,
"RITE AID STORE #11040","2269 SCHOENERSVILLE ROAD",,,"BETHLEHEM","Pennsylvania","18017","Northampton",,,"POINT (-75.401073 40.641138)",,,
"RITE AID STORE #04083","101 5TH STREET",,,"CHARLEROI","Pennsylvania","15022","Washington",,,"POINT (-79.896467 40.139384)",,,
"RITE AID STORE #11100","244 COMMERCE CIRCLE",,,"BRISTOL","Pennsylvania","19007","Bucks",,,"POINT (-74.871301 40.102748)",,,
"Weis Pharmacy-71","1800 Roosevelt Ave",,,"York","Pennsylvania","17408","York",,,"POINT (-76.767354 39.984561)",,,
"CVS/pharmacy07275","723 Lombard Rd.",,,"Red Lion","Pennsylvania","17356","York",,,"POINT (-76.628877 39.916319)",,,
"CVS/pharmacy05749","1845 McClellandtown Road",,,"Masontown","Pennsylvania","15461","Fayette",,,"POINT (-79.893069 39.866646)",,,
"RITE AID STORE #10931","2501 BANKSVILLE ROAD",,,"PITTSBURGH","Pennsylvania","15216","Allegheny",,,"POINT (-80.034719 40.406717)",,,
"RITE AID STORE #02631","170 SAXER AVENUE",,,"SPRINGFIELD","Pennsylvania","19064","Delaware",,,"POINT (-75.33347 39.927547)",,,
"CVS/pharmacy07253","1678 Susquehanna Rd.",,,"Dresher","PA","19025","Montgomery",,,"POINT (-75.169938 40.14274)",,,
"CVS/pharmacy02458","298 West Butler Pike",,,"Chalfont","Pennsylvania","18914","Bucks",,,"POINT (-75.215186 40.278618)",,,
"Walgreens Store # 11812","20260 Route 19",,,"Cranberry Twp","Pennsylvania","16066","Butler",,,"POINT (-80.102474 40.689236)",,,
"SAINT CHARLES WAY DIALYSIS","308 SAINT CHARLES WAY",,,"York","Pennsylvania","17402","York",,,"POINT (-76.692951 39.929286)",,,
"RITE AID STORE #00501","201 NORTH WASHINGTON AVENUE",,,"SCRANTON","Pennsylvania","18503","Lackawanna",,,"POINT (-75.663567 41.40807)",,,
"Giant Eagle Pharmacy-45","9805 McKnight Road",,,"Pittsburgh","Pennsylvania","15237","Allegheny",,,"POINT (-80.037336 40.585802)",,,
"Lansdale Rx Pharmacy","1801 N BROAD ST","14",,"Lansdale","Pennsylvania","19446","Montgomery",,,"POINT (-75.265546 40.258386)",,,
"Walmart Store #5358","100 S CONESTOGA DR",,,"SHIPPENSBURG","Pennsylvania","17257","Cumberland",,,"POINT (-77.495454 40.060799)",,,
"RITE AID STORE #01543","1212 SECOND STREET",,,"CRESSON","Pennsylvania","16630","Cambria",,,"POINT (-78.591697 40.459863)",,,
"VDI-Curtis Pharmacy-Claysville","305 Main St",,,"Claysville","Pennsylvania","15323","Washington","900","2021-04-13T00:00:00.000","POINT (-80.410033 40.117935)",,,
"RITE AID STORE #00467","525 PENN AVENUE",,,"WEST READING","Pennsylvania","19611","Berks",,,"POINT (-75.94817 40.33574)",,,
"Price Chopper Pharmacy-222","245 Wilkes-Barre Twp Blvd",,,"Wilkes Barre","Pennsylvania","18702","Luzerne",,,"POINT (-75.861619 41.240627)",,,
"Wellness Pharmacy Services","1427 Horsham Road",,,"North Wales","Pennsylvania","19454","Montgomery","4000","2021-04-13T00:00:00.000","POINT (-75.20773 40.225139)",,,
"CVS Pharmacy #2296","3295 PA ROUTE 100",,,"Macungie","Pennsylvania","18062","Lehigh",,,"POINT (-75.565954 40.519092)",,,
"The Hometown Pharmacy-Dierkens","100 E Main St",,,"Monongahela","Pennsylvania","15063","Washington","200","2021-04-13T00:00:00.000","POINT (-79.921912 40.199775)",,,
"Pittsburgh Mercy Family Health Center","249 South 9th Street",,"Bldg 4 1st Floor","Pittsburgh","Pennsylvania","15203","Allegheny","400","2021-04-13T00:00:00.000","POINT (-79.989908 40.430888)",,,
"PharMerica WB","153 Stewart Rd",,,"Wilkes Barre","Pennsylvania","18706","Luzerne",,,"POINT (-75.921518 41.21495)",,,
"Sams Club Store #8161","2801 E MARKET ST",,,"York","Pennsylvania","17402","York",,,"POINT (-76.673255 39.975306)",,,
"CVS/pharmacy04245","175 W. Beau St.",,,"Washington","Pennsylvania","15301","Washington",,,"POINT (-80.249337 40.170275)",,,
"Alberts Pharmacy","201 S. Main Street",,,"Pittston","Pennsylvania","18640","Luzerne",,,"POINT (-75.79384 41.318462)",,,
"CVS/pharmacy01682","644 East Penn Street",,,"Bedford","Pennsylvania","15522","Bedford",,,"POINT (-78.491498 40.01803)",,,
"Walmart Store #2614","5370 ALLENTOWN PIKE",,,"TEMPLE","Pennsylvania","19560","Berks",,,"POINT (-75.919091 40.416597)",,,
"Giant Eagle Pharmacy-5104","2840 Washington Road",,,"Canonsburg","Pennsylvania","15317","Washington",,,"POINT (-80.097073 40.303184)",,,
"CVS/pharmacy02020","728 Union Boulevard",,,"Allentown","Pennsylvania","18109","Lehigh",,,"POINT (-75.446435 40.624042)",,,
"Weis Pharmacy-231","200 W. Ridge Pike",,,"Conshohocken","PA","19428","Montgomery",,,"POINT (-75.288424 40.094506)",,,
"CVS/pharmacy01675","1278 Millersville Pike",,,"Lancaster","Pennsylvania","17603","Lancaster",,,"POINT (-76.32652 40.027597)",,,
"Walmart Store #1529","2801 E MARKET ST BLDG B",,,"YORK","Pennsylvania","17402","York",,,"POINT (-76.673255 39.975306)",,,
"RITE AID STORE #03775","500 NORTH MAIN AVENUE",,,"SCRANTON","Pennsylvania","18504","Lackawanna",,,"POINT (-75.675203 41.418016)",,,
"KRHC-Ridgway Medical Center","49 Ridgmont Dr","1",,"Ridgway","Pennsylvania","15853","Elk","200","2021-04-13T00:00:00.000","POINT (-78.743844 41.43532)",,,
"Family Halth Clinic of Bk-Susquehanna","2872 Turnpike Street",,,"Susquehanna","Pennsylvania","18847","Susquehanna","400","2021-04-13T00:00:00.000","POINT (-75.594016 41.947372)",,,
"Wegmans Pharmacy #036","1405 Main St.",,,"Warrington","PA","18976","Bucks",,,"POINT (-75.134192 40.230435)",,,
"VILLAGE PHARMACY AT SPRING HOUSE","1121 N. Bethlehem Pike","40",,"Spring House","Pennsylvania","19477","Montgomery","200","2021-04-13T00:00:00.000","POINT (-75.22502 40.189842)",,,
"Sams Club Store #6536","901 AIRPORT CENTER DR",,,"ALLENTOWN","Pennsylvania","18109","Lehigh",,,"POINT (-75.439019 40.638943)",,,
"Spartan Pharmacy Bethel Park","3400 South Park Rd",,"Unit 1","Bethel Park","Pennsylvania","15102","Allegheny","1300","2021-04-13T00:00:00.000","POINT (-80.057122 40.321885)",,,
"Giant Eagle Pharmacy-487","100 Sugar Run Rd.",,,"Waynesburg","Pennsylvania","15370","Greene",,,"POINT (-80.169364 39.894932)",,,
"RITE AID STORE #10964","200 MEMORIAL BLVD.",,,"CONNELLSVILLE","Pennsylvania","15425","Fayette",,,"POINT (-79.594845 40.023579)",,,
"Fulton County Medical Center","Fulton County Medical Center",,"214 Peach Orchard Road","MC CONNELLSBURG","PA","172338559","Fulton","400","2021-04-13T00:00:00.000",,,,
"Weis Pharmacy-125","1195 Lowther Road",,,"Camp Hill","PA","17011","Cumberland",,,"POINT (-76.896632 40.234933)",,,
"Keystone Community Health Services","111 Chambers Hill Drive","Suite 102",,"Chambersburg","Pennsylvania","17201","Franklin","300","2021-04-13T00:00:00.000",,,,
"Sav-On Pharmacy #769","323 Old York Rd",,,"Jenkintown","Pennsylvania","19046","Montgomery",,,"POINT (-75.126544 40.089983)",,,
"Weis Pharmacy-38","1075 West King Street",,,"Shippensburg","PA","17257","Cumberland",,,"POINT (-77.532783 40.044177)",,,
"CVS/pharmacy05709","St. Rt. 255 & Shaffer Rd, Sandy Plaza",,,"Dubois","Pennsylvania","15801","Clearfield",,,,,,
"Walmart Store #1607","10180 US HIGHWAY 522 S",,,"LEWISTOWN","Pennsylvania","17044","Mifflin",,,"POINT (-77.613201 40.582887)",,,
"Sav-On Pharmacy #1770","503 Macdade Blvd",,,"Holmes","Pennsylvania","19043","Delaware",,,,,,
"CVS/pharmacy05346","260 Rock Hill Rd.",,,"Bala Cynwyd","PA","19004","Montgomery",,,"POINT (-75.232269 40.021595)",,,
"Wegmans Pharmacy #069","5028 West Ridge Rd.",,,"Erie","PA","16506","Erie",,,"POINT (-80.18926 42.067991)",,,
"RITE AID STORE #11019","818 US ROUTE 15 NORTH",,,"DILLSBURG","Pennsylvania","17019","York",,,"POINT (-77.021096 40.129688)",,,
"East Berlin Pharmacy","335 WEST KING STREET",,"EAST BERLIN","East Berlin","Pennsylvania","17316","Adams",,,"POINT (-76.982572 39.939036)",,,
"CVS/pharmacy02158","32-54 West Lemon St.",,,"Lancaster","Pennsylvania","17603","Lancaster",,,"POINT (-76.30835 40.04415)",,,
"RITE AID STORE #10934","2336 ARDMORE BOULEVARD",,,"PITTSBURGH","Pennsylvania","15221","Allegheny",,,"POINT (-79.848243 40.416689)",,,
"Walgreens Store # 9677","2101 S. Queen St.",,,"York","Pennsylvania","17403","York",,,"POINT (-76.691526 39.935161)",,,
"Weis Pharmacy-64","601 Pleasant Valley Blvd",,,"Altoona","PA","16602","Blair",,,"POINT (-78.380671 40.511567)",,,
"Sav-On Pharmacy-Levittown","6800 New Falls Rd",,,"Levittown","Pennsylvania","19057","Bucks",,,"POINT (-74.858172 40.152349)",,,
"GIANT PHARMACY-6474","1153 NORTH 5TH STREET",,,"PERKASIE","PA","18944","Bucks",,,"POINT (-75.276549 40.383467)",,,
"Weis Pharmacy-91","237 S. Mountain Blvd",,,"Mountain Top","PA","18707","Luzerne",,,"POINT (-75.899122 41.145358)",,,
"Giant Eagle Pharmacy-47","100 Settlers Ridge Center Dr",,,"Pittsburgh","Pennsylvania","15205","Allegheny",,,"POINT (-80.151871 40.441492)",,,
"Giant Eagle Pharmacy-17","6320 Shakespeare St.",,,"Pittsburgh","Pennsylvania","15206","Allegheny",,,"POINT (-79.921162 40.458965)",,,
"RITE AID STORE #07880","277 DEKALB PIKE",,,"NORTH WALES","Pennsylvania","19454","Montgomery",,,"POINT (-75.24882 40.222873)",,,
"Big Spring Pharmacy","91 S. High Street",,,"Newville","Pennsylvania","17241","Cumberland","900","2021-04-13T00:00:00.000","POINT (-77.397641 40.170569)",,,
"Centre Volunteers in Medicine","2520 Green Tech Dr.","D",,"State College","Pennsylvania","16803","Centre","1170","2021-04-13T00:00:00.000","POINT (-77.918776 40.813498)",,,
"RITE AID STORE #03608","1941 DERRY STREET",,,"HARRISBURG","Pennsylvania","17104","Dauphin",,,"POINT (-76.855802 40.261166)",,,
"RITE AID STORE #10958","1396 WEST CHESTNUT ST.",,,"WASHINGTON","Pennsylvania","15301","Washington",,,"POINT (-80.273725 40.164758)",,,
"Centerville Clinics-Washington","37 HIGHLAND AVE",,,"Washington","Pennsylvania","15301","Washington","400","2021-04-13T00:00:00.000","POINT (-80.244837 40.174671)",,,
"RITE AID STORE #11116","3599 WEST CHESTER PIKE",,,"NEWTOWN SQUARE","Pennsylvania","19073","Delaware",,,"POINT (-75.398606 39.986648)",,,
"RITE AID STORE #11010","4145 BUFFALO ROAD",,,"ERIE","Pennsylvania","16510","Erie",,,"POINT (-80.00665 42.144411)",,,
"CVS/pharmacy01687","404 N. Logan Blvd.",,,"Burnham","Pennsylvania","17009","Mifflin",,,"POINT (-77.570825 40.632789)",,,
"Giant Eagle Pharmacy-75","1600 W State St",,,"Baden","Pennsylvania","15005","Beaver",,,"POINT (-80.236523 40.655687)",,,
"Brockie Pharmatech at Langhorne","275 N PINE ST",,,"Langhorne","Pennsylvania","19047","Bucks",,,"POINT (-74.91855 40.180465)",,,
"Holy Redeemer Hospital and Med Center","1648 Huntingdon Pike",,"Attn: Pharmacy Dept","Meadowbrook","Pennsylvania","19046","Montgomery","2340","2021-04-13T00:00:00.000","POINT (-75.081101 40.108944)",,,
"Giant Eagle Pharmacy-64","3812 O'Neil blvd",,,"Mc Keesport","Pennsylvania","15132","Allegheny",,,"POINT (-79.831241 40.347785)",,,
"CWC-Costco Pharmacy 00317","1875 Hempstead Road",,,"Lancaster","Pennsylvania","17601","Lancaster",,,"POINT (-76.255806 40.05212)",,,
"Weis Pharmacy-118","501 N. Centre Street",,,"Philipsburg","PA","16866","Centre",,,"POINT (-78.224494 40.901251)",,,
"RITE AID STORE #00793","1927 Atherton Street",,,"State College","Pennsylvania","16801","Centre",,,"POINT (-77.832123 40.78498)",,,
"GIANT PHARMACY-6117","10 NEWPORT ROAD",,,"LEOLA","PA","17540","Lancaster",,,"POINT (-76.190108 40.086787)",,,
"CVS/pharmacy10045","2239 Perkiomen Ave",,,"Reading","Pennsylvania","19606","Berks",,,"POINT (-75.892787 40.327858)",,,
"Hyde Drug Store","2412 Wilmington Rd",,,"New Castle","Pennsylvania","16105","Lawrence",,,"POINT (-80.353731 41.026174)",,,
"Walgreens Store # 6894","2727 W. Cheltenham Ave.",,,"Wyncote","Pennsylvania","19095","Montgomery",,,"POINT (-75.160092 40.075122)",,,
"VDI-ACORx Pharmacy","520 E Main Street",,,"Carnegie","Pennsylvania","15106","Allegheny","100","2021-04-13T00:00:00.000","POINT (-80.08082 40.411227)",,,
"GIANT PHARMACY-6453","330 MARKETPLACE BOULEVARD",,,"SELINSGROVE","PA","17870","Snyder",,,"POINT (-76.834846 40.841273)",,,
"SHREE ANJANEYA LLC","801 W MAIN ST",,,"Lansdale","Pennsylvania","19446","Montgomery",,,"POINT (-75.292861 40.24705)",,,
"RITE AID STORE #00218","5 EAST MAIN STREET",,,"NANTICOKE","Pennsylvania","18634","Luzerne",,,"POINT (-76.004896 41.205219)",,,
"RITE AID STORE #06712","100 Forbes Avenue","Ste. 100",,"Pittsburgh","Pennsylvania","15222","Allegheny",,,"POINT (-80.003733 40.441084)",,,
"RITE AID STORE #02474","59 NORTH MAIN STREET",,,"PORT ALLEGANY","Pennsylvania","16743","McKean",,,"POINT (-78.283799 41.815517)",,,
"Walmart Store #2519","698 SHREWSBURY COMMONS AVE",,,"SHREWSBURY","Pennsylvania","17361","York",,,"POINT (-76.671276 39.77011)",,,
"Lion Pharmacy","10 West Broadway",,,"Red Lion","Pennsylvania","17356","York",,,"POINT (-76.606147 39.900817)",,,
"CVS/pharmacy02350","4290 Township Line Road",,,"Schwenksville","Pennsylvania","19473","Montgomery",,,"POINT (-75.401431 40.234653)",,,
"CVS/pharmacy01891","64 South Locust Street",,,"Hazleton","Pennsylvania","18201","Luzerne",,,"POINT (-75.980916 40.954881)",,,
"Dao Pharmacy Inc. (DBA Rios Pharmacy)","35 South Morton Ave.",,,"Morton","Pennsylvania","19070","Delaware","500","2021-04-13T00:00:00.000","POINT (-75.328135 39.906825)",,,
"Vista Pharmacy LLC","938 N 8th",,,"Reading","Pennsylvania","19604","Berks",,,"POINT (-75.920328 40.349859)",,,
"Wegmans Pharmacy #094","3791 Easton-Nazareth Highway",,,"Easton","PA","18045","Northampton",,,"POINT (-75.286558 40.715629)",,,
"VHP Family Health Center","400 17th St","300",,"Allentown","Pennsylvania","18104","Lehigh","100","2021-04-13T00:00:00.000",,,,
"Giant Eagle Pharmacy-6301","100 Buffalo Plaza",,,"Sarver","Pennsylvania","16055","Butler",,,"POINT (-79.725817 40.706481)",,,
"CVS/Pharmacy 16500","857 Baltimore Pike",,,"Springfield","Pennsylvania","19064","Delaware",,,"POINT (-75.336016 39.916072)",,,
"Redners Pharmacy 46","22 Forest Drive",,,"Hegins","Pennsylvania","17938","Schuylkill",,,"POINT (-76.516487 40.650206)",,,
"Weis Pharmacy-192","725 Columbia Blvd.",,,"Bloomsburg","PA","17815","Columbia",,,"POINT (-76.443344 41.002738)",,,
"CVS/pharmacy16572","600 Chauvet Dr",,,"Pittsburgh","PA","152751043","Allegheny",,,"POINT (-80.183388 40.447368)",,,
"Hartzells Pharmacy","300 American Street",,,"Catasauqua","Pennsylvania","18032","Lehigh","100","2021-04-13T00:00:00.000","POINT (-75.467574 40.653713)",,,
"Lords Valley Village Pharmacy Inc","658 Rt 739","5",,"Hawley (Part-Wayne)","Pennsylvania","18428","Pike","800","2021-04-13T00:00:00.000","POINT (-75.04891 41.349715)",,,
"CVS/pharmacy01641","4402 Oakhurst Blvd.",,,"Harrisburg","Pennsylvania","17110","Dauphin",,,"POINT (-76.848547 40.332011)",,,
"Synergy Grandview Pharmacy Inc.","173 POINT TOWNSHIP DR",,,"Northumberland","Pennsylvania","17857","Northumberland",,,"POINT (-76.781599 40.899742)",,,
"AHN-Allegheny General Hospital","320 East North Avenue","Pharmacy",,"Pittsburgh","Pennsylvania","15212","Allegheny","3510","2021-04-13T00:00:00.000","POINT (-80.003249 40.456149)",,,
"Weis Pharmacy #135","112 Atlantic Avenue",,,"Dingmans Ferry","Pennsylvania","18328","Pike",,,,,,
"RITE AID STORE #11916","4770 MCKNIGHT ROAD STE A",,,"PITTSBURGH","Pennsylvania","15237","Allegheny",,,"POINT (-80.005022 40.520181)",,,
"RITE AID STORE #01733","1400 WEST MAIN STREET",,,"JEFFERSONVILLE","Pennsylvania","19403","Montgomery",,,"POINT (-75.362854 40.123743)",,,
"Weis Pharmacy-8","1105 Chestnut Street",,,"Berwick","Pennsylvania","18603","Columbia",,,"POINT (-76.236082 41.063424)",,,
"Walmart Store #5200","2030 FRUITVILLE PIKE",,,"LANCASTER","Pennsylvania","17601","Lancaster",,,"POINT (-76.324515 40.076076)",,,
"Walmart Store #2278","1825 DOWNS DR",,,"ERIE","Pennsylvania","16509","Erie",,,"POINT (-80.081696 42.052639)",,,
"CVS/pharmacy17577","31 WILSON AVE",,,"Hanover","PA","173315207","York",,,"POINT (-76.997595 39.828839)",,,
"Weis Pharmacy-14","1440 Allegheny Street",,,"Jersey Shore","PA","17740","Lycoming",,,"POINT (-77.276376 41.201194)",,,
"RITE AID STORE #03804","10 NEWPORT PLAZA",,,"NEWPORT","Pennsylvania","17074","Perry",,,"POINT (-77.113785 40.493228)",,,
"Squirrel Hill Health Center","4516 Browns Hill Road",,,"Pittsburgh","Pennsylvania","15217","Allegheny","200","2021-04-13T00:00:00.000","POINT (-79.925819 40.416702)",,,
"RITE AID STORE #02591","670 PHILADELPHIA AVENUE",,,"READING","Pennsylvania","19607","Berks",,,"POINT (-75.948321 40.298114)",,,
"Weis Pharmacy-152","1 Weis Plaza",,,"Nanticoke","PA","18634","Luzerne",,,"POINT (-76.004148 41.207201)",,,
"CVS/pharmacy01680","639 Main Street",,,"Clarion","Pennsylvania","16214","Clarion",,,"POINT (-79.382694 41.213545)",,,
"AHOLD USA-GIANT PHARMACY-6081","70 S LOCUST ST",,,"Hazleton","Pennsylvania","18201","Luzerne",,,"POINT (-75.981659 40.95324)",,,
"CVS/pharmacy17557","4599 Perkiomen Ave",,,"Reading","PA","196063201","Berks",,,"POINT (-75.863595 40.308125)",,,
"Sams Club Store #6547","611 LYCOMING MALL CIR",,,"MUNCY","Pennsylvania","17756","Lycoming",,,"POINT (-76.823276 41.239763)",,,
"UPMC-McKeesport","1500 5th Avenue",,,"Mc Keesport","Pennsylvania","15132","Allegheny","500","2021-04-13T00:00:00.000","POINT (-79.849218 40.3523)",,,
"RITE AID STORE #02797","1401 WEST CHELTENHAM AVENUE",,,"MELROSE PARK","Pennsylvania","19027","Montgomery",,,"POINT (-75.13991 40.063643)",,,
"RITE AID STORE #02271","""4135 NORTH GEORGE STREET, EXT",,,"MANCHESTER","Pennsylvania","17345","York",,,"POINT (-76.724318 40.043867)",,,
"RITE AID STORE #01320","640 MONTGOMERY AVENUE",,,"NARBERTH","Pennsylvania","19072","Montgomery",,,"POINT (-75.254365 40.009294)",,,
"The Hometown Pharmacy-Harmony","3 Northgate Pl","2","Route 19 N","Harmony","Pennsylvania","16037","Butler",,,"POINT (-80.137185 40.802892)",,,
"RITE AID STORE #11148","120 SOUTH MILL ROAD",,,"KENNETT SQUARE","Pennsylvania","19348","Chester",,,"POINT (-75.720296 39.844996)",,,
"Walmart Store #3252","605 CONCHESTER HWY",,,"BOOTHWYN","Pennsylvania","19061","Delaware",,,"POINT (-75.449791 39.850205)",,,
"CVS/pharmacy16499","2331 E Lincoln Hwy",,,"Langhorne","PA","190471812","Bucks",,,"POINT (-74.878838 40.179092)",,,
"Walgreens Store # 10549","2801 SHARKYS DR",,,"LATROBE","Pennsylvania","15650","Westmoreland",,,"POINT (-79.389794 40.285861)",,,
"RITE AID STORE #01274","4400 PENNELL ROAD",,,"ASTON","Pennsylvania","19014","Delaware",,,"POINT (-75.426923 39.856706)",,,
"Centerville Clinics-Fredericktown","1070 Old National Pike Rd",,,"Fredericktown","Pennsylvania","15333","Washington","300","2021-04-13T00:00:00.000","POINT (-79.985087 40.047222)",,,
"CVS/pharmacy01301","45 Constitution Boulevard",,,"Kutztown","Pennsylvania","19530","Berks",,,"POINT (-75.774507 40.517626)",,,
"RITE AID STORE #01415","929 SOUTH HIGH STREET",,,"WEST CHESTER","Pennsylvania","19382","Chester",,,"POINT (-75.591245 39.941891)",,,
"VDI-Mainline Pharmacy-Somerset","168 West Main St",,,"Somerset","Pennsylvania","15501","Somerset","1200","2021-04-13T00:00:00.000","POINT (-79.080619 40.008446)",,,
"Walmart Store #1644","120 AJK BLVD",,,"LEWISBURG","Pennsylvania","17837","Union",,,"POINT (-76.879841 40.989527)",,,
"Allentown Health Bureau","Alliance Hall",,"245 North 6th Street","Allentown","Pennsylvania","18102","Lehigh","1700","2021-04-13T00:00:00.000",,,,
"Cornerstone Care-Greensboro","7 Glassworks Road",,,"Greensboro","Pennsylvania","15338","Greene","200","2021-04-13T00:00:00.000","POINT (-79.913819 39.801116)",,,
"RITE AID STORE #01894","2901 CARLISLE ROAD",,,"DOVER","Pennsylvania","17315","York",,,"POINT (-76.814625 39.981991)",,,
"Adzema Pharmacy","8105 Perry Highway",,,"Pittsburgh","Pennsylvania","15237","Allegheny","200","2021-04-13T00:00:00.000","POINT (-80.03868 40.554758)",,,
"Weis Pharmacy-63","441 W. Main Street",,,"Mount Joy","PA","17552","Lancaster",,,"POINT (-76.515231 40.112701)",,,
"Evergreen Pharmacy II Inc","702 Dekalb Pike",,,"Blue Bell","Pennsylvania","19422","Montgomery","600","2021-04-13T00:00:00.000","POINT (-75.287013 40.170082)",,,
"Giant Eagle Pharmacy-470","881 Hills Plz",,,"Ebensburg","Pennsylvania","15931","Cambria",,,"POINT (-78.75919 40.469523)",,,
"Wegmans Pharmacy #048","One Village Dr.",,,"King of Prussia","PA","19406","Montgomery",,,,,,
"RITE AID STORE #10941","PITTSBURGH INTL AIRPORT",,"PO BOX 12298","Pittsburgh","Pennsylvania","15231","Allegheny",,,,,,
"The Washington Hospital","155 Wilson Ave",,,"Washington","Pennsylvania","15301","Washington","2340","2021-04-13T00:00:00.000","POINT (-80.247471 40.183244)",,,
"Walmart Store #2420","100 SARA WAY",,,"BELLE VERNON","Pennsylvania","15012","Fayette",,,"POINT (-79.845744 40.13786)",,,
"RITE AID STORE #06739","1365 Logan Avenue",,,"Tyrone","Pennsylvania","16686","Blair",,,"POINT (-78.237732 40.67559)",,,
"Walmart Store #4612","1800 TILDEN RIDGE",,,"HAMBURG","Pennsylvania","19526","Berks",,,"POINT (-76.009659 40.563441)",,,
"RITE AID STORE #11038","2411 COLUMBIA BLVD",,,"BLOOMSBURG","Pennsylvania","17815","Columbia",,,"POINT (-76.413712 41.011202)",,,
"CVS Pharmacy #5081","101 W City Ave",,,"Bala Cynwyd","Pennsylvania","19004","Montgomery",,,"POINT (-75.231498 39.998858)",,,
"VDI-Pine Grove Pharmacy","10 East Pottsville Str",,,"Pine Grove","Pennsylvania","17963","Schuylkill","100","2021-04-13T00:00:00.000","POINT (-76.38501 40.552571)",,,
"Marcus Hook Pharmacy","46 E 10th Street",,,"Marcus Hook","Pennsylvania","19061","Delaware",,,"POINT (-75.415915 39.82036)",,,
"RITE AID STORE #07832","4155 EWALT ROAD",,,"GIBSONIA","Pennsylvania","15044","Allegheny",,,"POINT (-79.942924 40.626034)",,,
