"clinic_name","street_address","city","state","zip_code","county_name","last_updated","clinic_website","phone_number","volume_ordered","federal_allocation","georeferenced_latitude_longitude","total_pfizer_ordered","total_moderna_ordered","total_janssen_ordered"
"Weis Pharmacy-10","140 Continental Blvd","Danville","Pennsylvania","17821","Montour","2021-03-22T00:00:00.000","https://c.ateb.com/3f647956b456425d9c12360db8e4fdb4",,,"true","POINT (-76.616059 40.9659113)",,,
"Weis Pharmacy-131","3885 Union Deposit Road","Harrisburg","Pa","17109","Dauphin","2021-03-22T00:00:00.000","https://c.ateb.com/3f647956b456425d9c12360db8e4fdb4",,,"true","POINT (-76.824596 40.278212)",,,
"Rite Aid Store #00263","685 North Main Street","Greensburg","Pennsylvania","15601","Westmoreland","2021-04-19T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-79.548223 40.315692)",,,
"Cvs/pharmacy01641","4402 Oakhurst Blvd.","Harrisburg","Pennsylvania","17110","Dauphin","2021-04-19T00:00:00.000","https://www.cvs.com/immunizations/covid-19-vaccine",,,"true","POINT (-76.848619 40.331969)",,,
"Centerville Clinics-uniontown","86 Mcclellandtown Rd","Uniontown","Pennsylvania","15401","Fayette","2021-03-22T00:00:00.000","https://centervilleclinics.com/centerville-clinics-inc-covid-19-vaccine-information/","724-632-6801","400","false","POINT (-79.735907 39.902414)",,,
"Walmart Store #2420","100 Sara Way","Belle Vernon","Pennsylvania","15012","Fayette","2021-04-07T00:00:00.000","https://www.walmart.com/cp/1228302",,,"true","POINT (-79.845781 40.137934)",,,
"Rite Aid Store #02693","44 Kings Village","Minersville","Pennsylvania","17954","Schuylkill","2021-04-26T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-76.254105 40.681573)",,,
"Cvs/pharmacy 10825","2400 Butler Pike","Plymouth Meeting","Pennsylvania","19462","Montgomery","2021-03-29T00:00:00.000","https://www.cvs.com/immunizations/covid-19-vaccine",,,"true","POINT (-75.272702 40.109113)",,,
"Cvs/pharmacy02552","702 Chester Pike","Prospect Park","Pennsylvania","19076","Delaware","2021-04-19T00:00:00.000","https://www.cvs.com/immunizations/covid-19-vaccine",,,"true","POINT (-75.303907 39.883932)",,,
"Cvs/pharmacy04039","300 8th Street","Ambridge","Pennsylvania","15003","Beaver","2021-04-13T00:00:00.000","https://www.cvs.com/immunizations/covid-19-vaccine",,,"true","POINT (-80.228654 40.589021)",,,
"Rite Aid Store #00451","1200 West Market Street","York","Pennsylvania","17404","York","2021-04-13T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-76.752545 39.954677)",,,
"Rite Aid Store #03768","1249 Horseshoe Pike","Downingtown","Pennsylvania","19335","Chester","2021-03-22T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.770603 40.037415)",,,
"Rite Aid Store #04840","1000 North Church Street","Hazleton","Pennsylvania","18201","Luzerne","2021-03-22T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.978136 40.973192)",,,
"Rite Aid Store #00740","8878 Clearfield Curwensville","Clearfield","Pennsylvania","16830","Clearfield","2021-04-13T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-78.4368172 41.0244155)",,,
"Family Pharmacy of Jessup","128 Constitution Ave","Jessup","Pennsylvania","18434","Lackawanna","2021-03-29T00:00:00.000","https://www.mygnp.com/pharmacies/family-pharmacy-of-jessup-jessup-pa-18434-1224/","570-383-7311","200","false","POINT (-75.573794 41.476318)",,,
"Rite Aid Store #11160","200 W. Ridge Avenue Ste 112","Conshohocken","Pennsylvania","19428",,"2021-03-17T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.30355 40.076599)",,,
"Rite Aid Store #01450","601 Delaware Avenue","Palmerton","Pennsylvania","18071","Carbon","2021-04-26T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.601623 40.805094)",,,
"Upmc-northwest","100 Fairfield Drive","Seneca","Pennsylvania","16346","Venango","2021-04-13T00:00:00.000","https://vaccine.upmc.com/","1-844-876-2822","2770","false","POINT (-79.70786 41.36008)",,,
"Sav-on Pharmacy #192","39 Leopard Rd","Paoli","Pennsylvania","19301","Chester","2021-04-26T00:00:00.000","https://www.albertsons.com/pharmacy/covid-19.html","877-723-3929",,"true","POINT (-75.476306 40.03977)",,,
"Rite Aid Store #11062","3382 Route 940","Mount Pocono","Pennsylvania","18344","Monroe","2021-04-13T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.361602 41.12596)",,,
"Giant Eagle Pharmacy #2445","419 South Main Street","Greenville","Pennsylvania","16125","Mercer","2021-04-13T00:00:00.000","https://www.gianteagle.com/covidvaccine",,,"true","POINT (-80.370939 41.409997)",,,
"Rite Aid Store #02277","1799 Third Street","Beaver","Pennsylvania","15009","Beaver","2021-03-29T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-80.336257 40.69968)",,,
"Squirrel Hill Health Center","4516 Browns Hill Road","Pittsburgh","Pennsylvania","15217","Allegheny","2021-04-19T00:00:00.000","https://squirrelhillhealthcenter.org/covid-19-vaccines/","412-697-7933","400","false","POINT (-79.925759 40.41681)",,,
"Phn-schuylkill Community Health Center","210 Sunbury Street","Minersville","Pennsylvania","17954","Schuylkill","2021-03-22T00:00:00.000","https://primary-health.net/covid-vaccine-clinic.aspx","724-699-9211","100","false","POINT (-76.260883 40.691099)",,,
"Cvs/pharmacy16752","200 Butler Commons","Butler","Pa","160012482","Butler","2021-03-29T00:00:00.000","https://www.cvs.com/immunizations/covid-19-vaccine",,,"true","POINT (-79.941476 40.874926)",,,
"Giant Eagle Pharmacy-2402","4192 Glades Pike","Somerset","Pennsylvania","15501","Somerset","2021-04-26T00:00:00.000","https://www.gianteagle.com/covidvaccine",,,"true","POINT (-79.1114333 40.0093379)",,,
"Cornerstone Care-prim Care Ctr-mt Morris","120 Locust Ave Ext","Mount Morris","Pennsylvania","15349","Greene","2021-04-19T00:00:00.000","https://cornerstonecare.com/","724-324-9001","100","false","POINT (-80.0585604 39.7430749)",,,
"Excela Health Frick Hospital","508 South Church Street","Mount Pleasant","Pennsylvania","15666","Westmoreland","2021-04-13T00:00:00.000","https://www.excelahealth.org/Home/Coronavirus-Information/COVID-19-Vaccine-Information","724-832-4244","2500","false","POINT (-79.548301 40.146345)",,,
"Rite Aid Store #02797","1401 West Cheltenham Avenue","Melrose Park","Pennsylvania","19027","Montgomery","2021-03-22T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.139393 40.063423)",,,
"Sluhhn-miners","360 W. Ruddle St","Coaldale","Pennsylvania","18218","Schuylkill","2021-04-26T00:00:00.000","https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine","1-866-785-8537","900","false","POINT (-75.914299 40.821487)","0","900","0"
"Rite Aid Store #10909","1710 Mount Royal Blvd.","Glenshaw","Pennsylvania","15116","Allegheny","2021-04-19T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-79.962791 40.525812)",,,
"Giant Pharmacy-6509","737 Huntingdon Pike","Huntingdon Valley","Pa","19006","Montgomery","2021-04-26T00:00:00.000","https://www.giantfoodstores.com/covid-19vaccine","844.915.1814",,"true","POINT (-75.09362 40.086478)",,,
"Rite Aid Store #11034","2600 Willow Street Pike","Willow Street","Pennsylvania","17584",,"2021-03-17T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-76.280101 39.984952)",,,
"Cvs/pharmacy05093","100 Market Street","Warren","Pennsylvania","16365","Warren","2021-04-13T00:00:00.000","https://www.cvs.com/immunizations/covid-19-vaccine",,,"true","POINT (-79.144966 41.843793)",,,
"Sav-on Pharmacy-levittown","6800 New Falls Rd","Levittown","Pennsylvania","19057","Bucks","2021-04-19T00:00:00.000","https://www.albertsons.com/pharmacy/covid-19.html","877-723-3929",,"true","POINT (-74.858923 40.15174)",,,
"Giant Pharmacy-6051","141 East Swedesford Road","Exton","Pa","19341","Chester","2021-04-26T00:00:00.000","https://www.giantfoodstores.com/covid-19vaccine","1.844.915.1814",,"false","POINT (-75.629317 40.033405)",,,
"Rite Aid Store #11006","105 West Main Street","North East","Pennsylvania","16428","Erie","2021-04-19T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-79.841399 42.21397)",,,
"Walmart Store #5888","3400 Hartzdale Dr","Camp Hill","Pennsylvania","17011","Cumberland","2021-04-26T00:00:00.000","https://www.walmart.com/cp/1228302",,,"false","POINT (-76.925592 40.225087)",,,
"The Chester County Hospital","Pharmacy","West Chester","Pennsylvania","19380","Chester","2021-03-29T00:00:00.000","https://www.chestercountyhospital.org/","1-610-883-5410","1170","false","POINT (-75.600912 39.97215)",,,
"Lehigh Valley Health Network","1200 S. Cedar Crest Blvd","Allentown","Pennsylvania","18103","Lehigh","2021-04-13T00:00:00.000","https://www.LVHN.org/vaccines","833-584-6283","17850","false","POINT (-75.518762 40.56676)",,,
"Cwc-costco Pharmacy 01081","14 W Lightcap Road","Pottstown","Pennsylvania","19464","Montgomery","2021-04-19T00:00:00.000","https://book-costcopharmacy.appointment-plus.com/d133yng2/#/",,,"true","POINT (-75.576301 40.237222)",,,
"Giant Eagle Pharmacy-4706","3701 Route 88","Finleyville","Pennsylvania","15332","Washington","2021-03-22T00:00:00.000","https://www.gianteagle.com/covidvaccine",,,"true","POINT (-80.001412 40.254314)",,,
"Cvs/pharmacy01312","1111 North 9th Street","Stroudsburg","Pennsylvania","18360","Monroe","2021-04-19T00:00:00.000","https://www.cvs.com/immunizations/covid-19-vaccine",,,"true","POINT (-75.220787 40.988314)",,,
"Sluhhn-bethlehem","801 Ostrum Street","Bethlehem (part-northampton)","Pennsylvania","18015","Northampton","2021-03-22T00:00:00.000","https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine","1-866-785-8537","2340","false","POINT (-75.392627 40.608689)",,,
"Rite Aid Store #11038","2411 Columbia Blvd","Bloomsburg","Pennsylvania","17815","Columbia","2021-04-26T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-76.413434 41.011354)",,,
"Rite Aid Store #00264","375 Philadelphia Street","Indiana","Pennsylvania","15701",,"2021-03-17T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-79.145158 40.622918)",,,
"Scranton Primary Hlth Care Cntr-alder","425 Alder St","Scranton","Pennsylvania","18505","Lackawanna","2021-04-19T00:00:00.000",,"570-344-9684","100","false","POINT (-75.665913 41.399843)",,,
"Weis Pharmacy-9","305 River Avenue","Williamsport","Pennsylvania","17701","Lycoming","2021-04-07T00:00:00.000","https://c.ateb.com/8d8feb6dce7d4d598f753362d06d1e64/",,,"true","POINT (-76.981242 41.249751)",,,
"Rite Aid Store #00501","201 North Washington Avenue","Scranton","Pennsylvania","18503","Lackawanna","2021-03-22T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.66376 41.408006)",,,
"Rite Aid Store #10890","1505 7th Avenue","Beaver Falls","Pennsylvania","15010","Beaver","2021-04-19T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-80.319517 40.756037)",,,
"Rite Aid Store #02426","39 West Side Mall","Wilkes Barre","Pennsylvania","18704",,"2021-03-17T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.900934 41.259128)",,,
"Apple Occupational Med Srvs Worksite Med","510 Jamison Ave","Ellwood City","Pennsylvania","16117","Lawrence","2021-04-26T00:00:00.000",,,"1170","false","POINT (-80.259232 40.860079)","1170","0","0"
"Weis Pharmacy-182","5020 Route 873","Schnecksville","Pa","18078","Lehigh","2021-04-26T00:00:00.000","https://c.ateb.com/8d8feb6dce7d4d598f753362d06d1e64/",,,"true","POINT (-75.613901 40.676068)",,,
"Giant Eagle Pharmacy-73","9901 Mountain View Dr","West Mifflin","Pennsylvania","15122","Allegheny","2021-04-07T00:00:00.000","https://www.gianteagle.com/covidvaccine",,,"true","POINT (-79.940744 40.343294)",,,
"Ahn Forbes Hospital","Pharmacy","Monroeville","Pennsylvania","15146","Allegheny","2021-03-29T00:00:00.000","https://www.ahn.org/coronavirus.html",,"1170","false","POINT (-79.751166 40.428419)",,,
"Wellspan Surgical and Rehab Hospital","55 Monument Rd","York","Pennsylvania","17403","York","2021-03-22T00:00:00.000","https://www.wellspan.org/covid19","855-851-3641","2340","false","POINT (-76.716954 39.923332)",,,
"Millcreek Manor Pharmacy","5535 Peach St","Erie","Pennsylvania","16509","Erie","2021-03-22T00:00:00.000","https://lecomhealth.com/coronavirus/","814-868-3888","500","false","POINT (-80.093434 42.073007)",,,
"Rite Aid Store #04684","825a East Chestnut Street","Lancaster","Pennsylvania","17602","Lancaster","2021-03-29T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-76.288924 40.043017)",,,
"Weis Pharmacy-19","1571 Route 209","Millersburg","Pennsylvania","17061","Dauphin","2021-03-29T00:00:00.000","https://c.ateb.com/3f647956b456425d9c12360db8e4fdb4",,,"true","POINT (-76.922857 40.539761)",,,
"Berks Genesis Family Medicine Pc","1555 Schuylkill Ave","Reading","Pennsylvania","19601","Berks","2021-04-26T00:00:00.000","https://berksgenesis.com/","610-378-0107","100","false","POINT (-75.951098 40.358687)","0","100","0"
"Vdi-livingston Pharmacy","550 Miller Ave","Clairton","Pennsylvania","15025","Allegheny","2021-04-13T00:00:00.000",,"412-233-7100","400","false","POINT (-79.883084 40.293412)",,,
"Giant Eagle Pharmacy-4038","4265 Buffalo Rd","Erie","Pennsylvania","16510","Erie","2021-04-07T00:00:00.000","https://www.gianteagle.com/covidvaccine",,,"true","POINT (-80.004773 42.145237)",,,
"Med-fast Pharmacy","2003 Sheffield Road","Aliquippa","Pennsylvania","15001","Beaver","2021-04-13T00:00:00.000","https://medfast.com/company/pharmacy-locations/homecare/","1-800-673-1572",,"true","POINT (-80.275505 40.607547)",,,
"Rite Aid Store #11068","609 Luzerne Street","Scranton","Pennsylvania","18504","Lackawanna","2021-04-13T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.678991 41.4056)",,,
"Phoebe Services Pharmacy-east Petersburg","1110 Enterprise Road","East Petersburg","Pennsylvania","17520","Lancaster","2021-04-07T00:00:00.000",,"717-925-2380",,"true","POINT (-76.351181 40.097349)",,,
"Rite Aid Store #11099","2182 County Line Road","Huntingdon Valley","Pennsylvania","19006",,"2021-03-17T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.073178 40.171967)",,,
"Giant Eagle Pharmacy-4077","3230 Wilmington Road","New Castle","Pennsylvania","16105","Lawrence","2021-04-13T00:00:00.000","https://www.gianteagle.com/covidvaccine",,,"true","POINT (-80.357161 41.053426)",,,
"Rite Aid Store #11043","901 Northampton Street","Easton","Pennsylvania","18042","Northampton","2021-04-19T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.221068 40.690737)",,,
"Rite Aid Store #11097","642 Easton Road","Warrington","Pennsylvania","18976","Bucks","2021-04-13T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.138913 40.229433)",,,
"Fpc-hughesville Family Practice Center","246 South Main Street","Hughesville","Pennsylvania","17737","Lycoming","2021-03-29T00:00:00.000",,,"200","false","POINT (-76.728156 41.237445)",,,
"Weis Pharmacy-144","5580 Crawford Drive","Bethlehem (part-northampton)","Pennsylvania","18017",,"2021-03-17T00:00:00.000","https://c.ateb.com/3f647956b456425d9c12360db8e4fdb4",,,"true","POINT (-75.38905 40.67354)",,,
"Upmc Susquehanna-williamsport","700 High Street","Williamsport","Pennsylvania","17701","Lycoming","2021-03-29T00:00:00.000","https://vaccine.upmc.com/","1-844-876-2822","1170","false","POINT (-77.014411 41.24554)",,,
"Castle Shannon Point of Dispensing","3600 Library Road","Pittsburgh","Pennsylvania","15236","Allegheny","2021-04-07T00:00:00.000","https://vax4.alleghenycounty.us/patient/s/","Call 2-1-1",,"false","POINT (-79.9759911 40.3432807)",,,
"Rite Aid Store #03447","126 W Main Street","Grove City","Pennsylvania","16127","Mercer","2021-03-29T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-80.087881 41.157301)",,,
"Ahold Usa-giant Pharmacy-6289","2104 Van Reed Road","West Lawn","Pa","19609","Berks","2021-04-19T00:00:00.000","https://www.giantfoodstores.com/covid-19vaccine",,,"false","POINT (-76.00071 40.342136)",,,
"Mainline Pharmacy-hastings","317 Beaver St.","Hastings","Pennsylvania","16646","Cambria","2021-04-19T00:00:00.000","https://mainlinepharmacy.com/","724-459-7400","1170","false","POINT (-78.713076 40.664633)",,,
"Walmart Store #2597","10 Kimberly Ln","Cranberry","Pennsylvania","16319","Venango","2021-03-29T00:00:00.000","https://www.walmart.com/cp/1228302",,,"true","POINT (-79.718382 41.350453)",,,
"Rite Aid Store #01894","2901 Carlisle Road","Dover","Pennsylvania","17315","York","2021-03-22T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-76.814658 39.982068)",,,
"Cwc-costco Pharmacy 01081","14 W Lightcap Road","Pottstown","Pennsylvania","19464","Montgomery","2021-04-26T00:00:00.000","https://book-costcopharmacy.appointment-plus.com/d133yng2/#/",,,"true","POINT (-75.576301 40.237222)",,,
"Sams Club Store #4859","200 Moraine Pointe Plz","Butler","Pennsylvania","16001","Butler","2021-04-19T00:00:00.000","https://www.samsclub.com/covid",,,"true","POINT (-79.953527 40.87747)",,,
"Rite Aid Store #01429","211 East Main Street","Everett","Pennsylvania","15537","Bedford","2021-03-29T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-78.36982 40.011975)",,,
"Cvs/pharmacy07183","730 Newark Road","Landenberg","Pennsylvania","19350","Chester","2021-04-19T00:00:00.000","https://www.cvs.com/immunizations/covid-19-vaccine",,,"true","POINT (-75.777536 39.762649)",,,
"Rite Aid Store #10914","1700 Pine Hollow Road","Mc Kees Rocks","Pennsylvania","15136","Allegheny","2021-04-26T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-80.097396 40.475512)",,,
"Phoebe Services Pharmacy-colmar","311 Bethlehem Pike","Colmar","Pennsylvania","18915","Montgomery","2021-04-26T00:00:00.000",,"610-794-4250",,"true","POINT (-75.259728 40.275693)",,,
"Weis Pharmacy-142","1500 N Cedar Crest Blvd","Allentown","Pennsylvania","18104","Lehigh","2021-04-19T00:00:00.000","https://c.ateb.com/8d8feb6dce7d4d598f753362d06d1e64/",,,"true","POINT (-75.532824 40.612135)",,,
"Rite Aid Store #11172","4630 Perkiomen Avenue","Reading","Pennsylvania","19606","Berks","2021-03-22T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.860972 40.306265)",,,
"Snyder County Community Vaccination Clinic","145 Meadow Circle","Selinsgrove","Pennsylvania","17870","Snyder","2021-04-19T00:00:00.000","https://www.snydercounty.org","570-452-7013",,"false","POINT (-76.8612744 40.8089265)",,,
"Weis Pharmacy-170","1199 Texas Palmyra Hwy Ste N","Honesdale","Pennsylvania","18431","Wayne","2021-04-07T00:00:00.000","https://c.ateb.com/8d8feb6dce7d4d598f753362d06d1e64/",,,"true","POINT (-75.225892 41.553404)",,,
"Langhorne Pharmacy","172 N Pine Street","Langhorne","Pennsylvania","19047","Bucks","2021-04-26T00:00:00.000","https://scheduling.bestrxconnect.com/Covid19","215-752-1100",,"true","POINT (-74.918099 40.178419)",,,
"Giant Eagle Pharmacy-80","40 White St","Brookville","Pennsylvania","15825","Jefferson","2021-03-29T00:00:00.000","https://www.gianteagle.com/covidvaccine",,,"true","POINT (-79.084019 41.159862)",,,
"Giant Pharmacy-6455","3560 Route 611","Bartonsville","Pa","18321","Monroe","2021-04-19T00:00:00.000","https://www.giantfoodstores.com/covid-19vaccine","1.844.915.1814",,"false","POINT (-75.273288 41.002192)",,,
"Rite Aid Store #01800","4551 Milford Road","East Stroudsburg","Pennsylvania","18302","Monroe","2021-04-13T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.111053 41.04933)",,,
"Walmart Store #3738","4015 Freeport Rd","Natrona Heights","Pennsylvania","15065","Allegheny","2021-04-19T00:00:00.000","https://www.walmart.com/cp/1228302",,,"true","POINT (-79.709852 40.645781)",,,
"Walgreens Store # 13787","1800 Center St","Camp Hill","Pennsylvania","17011","Cumberland","2021-04-26T00:00:00.000","https://www.walgreens.com/topic/findcare/coronavirus.jsp","1-800-925-4733",,"true","POINT (-76.931495 40.259631)",,,
"Rite Aid Store #01415","929 South High Street","West Chester","Pennsylvania","19382","Chester","2021-04-07T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.591229 39.942108)",,,
"Rite Aid Store #01800","4551 Milford Road","East Stroudsburg","Pennsylvania","18302","Monroe","2021-04-26T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-75.111053 41.04933)",,,
"Grove City Medical Center","631 North Broad Street Ext.","Grove City","Pennsylvania","16127","Mercer","2021-04-13T00:00:00.000","https://www.ahn.org/coronavirus/independent-health-care-workers.html",,"1170","false","POINT (-80.083247 41.170696)",,,
