"store_name","address_1","city","county","state","zip_code","vaccine","date","doses","georeferenced_latitude_longitude"
"Rite Aid 01800","4551 Milford Road","East Stroudsburg","Monroe","PA","18302","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.111024 41.049263)"
"Rite Aid 01370","725 Lysle Boulevard","Mckeesport","Allegheny","PA","15132","Moderna","2021-01-18T00:00:00.000","200","POINT (-79.857455 40.35224)"
"Weis Markets Inc","1 Weis Plaza","Nanticoke","Luzerne","PA","18634","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.004148 41.207201)"
"Weis Markets Inc","3011 William Penn Hwy","Easton","Northampton","PA","18045","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.261101 40.676903)"
"Giant Eagle","9001 Frankstown Road","Pittsburgh","Allegheny","PA","15235","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.864919 40.461405)"
"Weis Markets Inc","Route 590","Hamlin","Wayne","PA","18427","Moderna","2021-01-18T00:00:00.000","100",
"Weis Markets Inc","1440 Allegheny Street","Jersey Shore","Lycoming","PA","17740","Moderna","2021-01-18T00:00:00.000","100","POINT (-77.276376 41.201194)"
"Giant Eagle","20111 Rt 19","Cranberry Twp","Butler","PA","16066","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.101038 40.683393)"
"Weis Markets Inc","5360 Lincoln Highway Ste 2","Gap","Lancaster","PA","17527","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.017773 39.991633)"
"Giant Eagle","206 Seven Fields Blvd","Seven Fields","Butler","PA","16046","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.057368 40.689247)"
"Giant Eagle","4010 Monroeville Boulevard","Monroeville","Allegheny","PA","15146","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.771947 40.435921)"
"Rite Aid 00415","33 Public Square","Wilkes Barre","Luzerne","PA","18701","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.882467 41.245781)"
"Weis Markets Inc","1075 West King Street","Shippensburg","Franklin","PA","17257","Moderna","2021-01-18T00:00:00.000","100","POINT (-77.532783 40.044177)"
"Giant Eagle","400 Northtowne Square","Gibsonia","Allegheny","PA","15044","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.940261 40.635901)"
"Rite Aid 02382","163 West 26th Street","Erie","Erie","PA","16508","Moderna","2021-01-18T00:00:00.000","200","POINT (-80.076863 42.110716)"
"Giant Eagle","1705 S Braddock Avenue","Pittsburgh","Allegheny","PA","15218","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.888395 40.42516)"
"Weis Markets Inc","365 S Cedar Crest Blvd","Allentown","Lehigh","PA","18103","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.522336 40.582536)"
"Weis Markets Inc","5020 Route 873","Schnecksville","Lehigh","PA","18078","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.613976 40.677148)"
"Giant Eagle","510 Marwalt Lane","Roaring Spring","Blair","PA","16673","Moderna","2021-01-18T00:00:00.000","100","POINT (-78.391617 40.330001)"
"Rite Aid 10890","1505 7th Avenue","Beaver Falls","Beaver","PA","15010","Moderna","2021-01-18T00:00:00.000","200","POINT (-80.319419 40.756352)"
"Wegmans Food Markets Inc.","5000 Wegmans Dr.","Bethlehem","Lehigh","PA","18017","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.38801 40.665563)"
"Rite Aid 04415","14 Fifth Street","Williamsport","Lycoming","PA","17701","Moderna","2021-01-18T00:00:00.000","200","POINT (-77.004079 41.243659)"
"Giant Eagle","3113 Green Garden Road","Aliquippa","Beaver","PA","15001","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.303341 40.599693)"
"Weis Markets Inc","3885 Union Deposit Road","Harrisburg","Dauphin","PA","17109","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.824615 40.27828)"
"Rite Aid 10914","1700 Pine Hollow Road","Mc Kees Rocks","Allegheny","PA","15136","Moderna","2021-01-18T00:00:00.000","200","POINT (-80.096788 40.475305)"
"Weis Markets Inc","6901 Westbranch Highway","Lewisburg","Union","PA","17837","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.889546 40.974303)"
"Rite Aid 04286","5201 Spring Road","Shermans Dale","Perry","PA","17090","Moderna","2021-01-18T00:00:00.000","200","POINT (-77.16542 40.319769)"
"Giant Eagle","1233 Broad St","Johnstown","Cambria","PA","15906","Moderna","2021-01-18T00:00:00.000","100","POINT (-78.939326 40.345441)"
"Rite Aid 00596","827 N Center Street","Corry","Erie","PA","16407","Moderna","2021-01-18T00:00:00.000","200","POINT (-79.641386 41.930084)"
"Giant Eagle","7 Cottonwood Street","Northern Cambria","Cambria","PA","15714","Moderna","2021-01-18T00:00:00.000","100","POINT (-78.783068 40.661124)"
"Rite Aid 02768","54 North Main Street","Carbondale","Lackawanna","PA","18407","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.501494 41.573878)"
"Weis Markets Inc","331 N Reading Road","Ephrata","Lancaster","PA","17522","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.176401 40.191936)"
"Giant Eagle","254 Yost Blvd.","Pittsburgh","Allegheny","PA","15221","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.855079 40.413274)"
"Rite Aid 01963","262 Connellsville Street","Uniontown","Fayette","PA","15401","Moderna","2021-01-18T00:00:00.000","200","POINT (-79.706898 39.900782)"
"Weis Markets Inc","3236 Route 940 Suite 116","Mt Pocono","Monroe","PA","18344","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.374456 41.12204)"
"Weis Markets Inc","1800 Roosevelt Ave","York","York","PA","17404","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.767354 39.984561)"
"Weis Markets Inc","1199 Texas Palmyr Hwy Suite N","Honesdale","Wayne","PA","18431","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.226484 41.553287)"
"Rite Aid 01495","101 East Shirley Street","Mount Union","Huntingdon","PA","17066","Moderna","2021-01-18T00:00:00.000","200","POINT (-77.879633 40.382688)"
"Rite Aid 11073","400 West Second Street","Berwick","Columbia","PA","18603","Moderna","2021-01-18T00:00:00.000","200","POINT (-76.239372 41.052764)"
"Giant Eagle","541 Allegheny Boulevard","Franklin","Venego","PA","16323","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.808704 41.40217)"
"Rite Aid 10988","129 Grand Avenue, Po Box 1228","Mars","Butler","PA","16046","Moderna","2021-01-18T00:00:00.000","200","POINT (-80.01036 40.696591)"
"Weis Markets Inc","6 Millbrook Plaza","Mill Hall","Clinton","PA","17751","Moderna","2021-01-18T00:00:00.000","100","POINT (-77.477902 41.117476)"
"Giant Eagle","4265 Buffalo Rd","Erie","Erie","PA","16510","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.005812 42.144819)"
"Giant Eagle","5990 University Blvd.","Moon Township","Allegheny","PA","15108","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.218038 40.519528)"
"Rite Aid 11040","2269 Schoenersville Road","Bethlehem","Lehigh","PA","18017","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.401073 40.641138)"
"Rite Aid 01830","77 Reuters Boulevard","Towanda","Bradford","PA","18848","Moderna","2021-01-18T00:00:00.000","200","POINT (-76.450216 41.783144)"
"Weis Markets Inc","611-619 Fifteenth Street","Huntingdon","Huntingdon","PA","16652","Moderna","2021-01-18T00:00:00.000","100","POINT (-78.014145 40.496568)"
"Weis Markets Inc","2 Anthra Plaza","Coal Township","Northumberland","PA","17866","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.521088 40.789586)"
"Rite Aid 02264","2722 West 9th Street","Chester","Delaware","PA","19013","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.394803 39.836063)"
"Weis Markets Inc","2020 N 13th Street","Reading","Berks","PA","19604","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.911435 40.365723)"
"Giant Eagle","18511 Smock Highway","Meadville","Crawford","PA","16335","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.167012 41.62017)"
"Rite Aid 00233","9365 William Penn Highway","Huntingdon","Huntingdon","PA","16652","Moderna","2021-01-18T00:00:00.000","200","POINT (-78.022113 40.483053)"
"Giant Eagle","223 Grove City Rd.","Slippery Rock","Butler","PA","16057","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.051839 41.070254)"
"Giant Eagle","40 White St","Brookville","Jefferson","PA","15825","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.08416 41.159774)"
"Rite Aid 10999","100 South 3rd Street","Conneaut Lake","Crawford","PA","16316","Moderna","2021-01-18T00:00:00.000","200","POINT (-80.304377 41.602976)"
"Rite Aid 10934","2336 Ardmore Blvd","Pittsburgh","Allegheny","PA","15221","Moderna","2021-01-18T00:00:00.000","200","POINT (-79.848243 40.416689)"
"Rite Aid 04684","825a East Chestnut Street","Lancaster","Lancaster","PA","17602","Moderna","2021-01-18T00:00:00.000","200","POINT (-76.2889 40.04295)"
"Weis Markets Inc","552 State Street","Hamburg","Berks","PA","19526","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.980249 40.556146)"
"Rite Aid 00467","525 Penn Avenue","West Reading","Berks","PA","19611","Moderna","2021-01-18T00:00:00.000","200","POINT (-75.94817 40.33574)"
"Giant Eagle","1701 Lincoln Highway","North Versailles","Allegheny","PA","15137","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.786011 40.370408)"
"Giant Eagle","2021 Wharton Street","Pittsburgh","Allegheny","PA","15203","Moderna","2021-01-18T00:00:00.000","100","POINT (-79.977315 40.430371)"
"Weis Markets Inc","313-337 W Bald Eagle St","Lock Haven","Clinton","PA","17745","Moderna","2021-01-18T00:00:00.000","100","POINT (-77.452987 41.133538)"
"Weis Markets Inc","2600 Willow St Pike North","Willow Street","Lancaster","PA","17584","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.27983 39.984716)"
"Giant Eagle","155 Towne Centre Drive","Wexford","Allegheny","PA","15090","Moderna","2021-01-18T00:00:00.000","100","POINT (-80.054409 40.631533)"
"Rite Aid 07850","620 E Allegheny Avenue","Emporium","Cameron","PA","15834","Moderna","2021-01-18T00:00:00.000","200","POINT (-78.223836 41.509004)"
"Rite Aid 04284","3601 Walnut Street","Harrisburg","Dauphin","PA","17109","Moderna","2021-01-18T00:00:00.000","200","POINT (-76.836931 40.288332)"
"Giant Eagle","510 East Pitt St.","Bedford","Bedford","PA","15522","Moderna","2021-01-18T00:00:00.000","100","POINT (-78.495077 40.019327)"
"Weis Markets Inc","1056 Wayne Avenue","Chambersburg","Franklin","PA","17201","Moderna","2021-01-18T00:00:00.000","100","POINT (-77.651329 39.911898)"
"Wegmans Food Markets Inc.","220 Highland Park Blvd.","Wilkes-barre","Luzerne","PA","18702","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.861409 41.234593)"
"Weis Markets Inc","15260-2 Kutztown Road","Kutztown","Berks","PA","19530","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.765862 40.528383)"
"Weis Markets Inc","65 Meadow Green Drive","Mifflinburg","Union","PA","17844","Moderna","2021-01-18T00:00:00.000","100","POINT (-77.031311 40.924542)"
"Weis Markets Inc","1195 Lowther Road","Camp Hill","Cumberland","PA","17011","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.896632 40.234933)"
"Weis Markets Inc","719 Route 522","Selinsgrove","Snyder","PA","17870","Moderna","2021-01-18T00:00:00.000","100","POINT (-76.864729 40.810178)"
"Weis Markets Inc","1070 N Ninth Street","Stroudsburg","Monroe","PA","18360","Moderna","2021-01-18T00:00:00.000","100","POINT (-75.21832 40.989153)"
"Blakeslee Pharmacy","393 Rte 940 Ste 1","Blakeslee","Monroe","PA","18610","Moderna Vaccine","2021-04-27T00:00:00.000","100",
"GIANT EAGLE INC.","5 Quaker Village S.c.","Leetsdale","Allegheny","PA","15056","Moderna Vaccine","2021-04-20T00:00:00.000","100",
"Rite Aid Pharmacy 01398","1 East High Street","Union City","Erie County","PA","16438","Moderna","2021-01-25T00:00:00.000","200","POINT (-79.845023 41.899611)"
