"clinic_name","street_address","city","state","zip_code","county_name","last_updated","clinic_website","phone_number","volume_ordered","federal_allocation","georeferenced_latitude_longitude","total_pfizer_ordered","total_moderna_ordered","total_janssen_ordered"
"County of Delaware","125 Chester Avenue","Yeadon","Pennsylvania","19050","Delaware","2021-04-13T00:00:00.000",,,"13870","false","POINT (-75.255086 39.923443)",,,
"Fresenius Kidney Care Bryn Mawr Dialysis","780 W Lancaster Avenue","Bryn Mawr","Pennsylvania","19010","Delaware","2021-04-07T00:00:00.000",,"1-800-881-5101",,"true","POINT (-75.316826 40.020663)",,,
"County of Delaware","125 Chester Avenue","Yeadon","Pennsylvania","19050","Delaware","2021-04-07T00:00:00.000",,,"8170","false","POINT (-75.255086 39.923443)",,,
"Knights Medical Associates","3034 Knights Rd","Bensalem","Pennsylvania","19020","Bucks","2021-04-19T00:00:00.000",,"215-638-7400","400","false","POINT (-74.950314 40.105397)",,,
"Evergreen Pharmacy","1222 Welsh Rd","North Wales","Pennsylvania","19454","Montgomery","2021-04-26T00:00:00.000",,"215-393-0902","500","false","POINT (-75.257608 40.226147)","0","500","0"
"Dialysis Care Center of Mechanicsburg","4 Flowers Dr","Mechanicsburg","Pennsylvania","17050","Cumberland","2021-04-26T00:00:00.000",,"717-795-4665","100","false","POINT (-77.031434 40.250485)","0","100","0"
"Sheffield Pharmacy","27 S. Main St.","Sheffield","Pennsylvania","16347","Warren","2021-04-26T00:00:00.000",,"814-968-3636","100","false","POINT (-79.035054 41.703527)","0","100","0"
"Warren General Hospital","2 W Crescent Park","Warren","Pennsylvania","16365","Warren","2021-04-13T00:00:00.000",,"814-723-3300","200","false","POINT (-79.153283 41.843653)",,,
"Exeter Township Health Center","2795 Sullivans Trail","Falls","Pennsylvania","18615","Wyoming","2021-04-13T00:00:00.000",,"570-704-4117","100","false","POINT (-75.857415 41.445364)",,,
"Freeland Pharmacy","611 Centre Street","Freeland","Pennsylvania","18224","Luzerne","2021-04-19T00:00:00.000",,"732-344-0877",,"true","POINT (-75.897448 41.017707)",,,
"Meadville Medical Center","751 Liberty Street","Meadville","Pennsylvania","16335","Crawford","2021-03-29T00:00:00.000",,"814-373-2986","1170","false","POINT (-80.146296 41.641636)",,,
"Warren General Hospital","2 W Crescent Park","Warren","Pennsylvania","16365","Warren","2021-04-26T00:00:00.000",,"814-723-3300","400","false","POINT (-79.153283 41.843653)","0","400","0"
"Exton Pharmacy at Marchood","1 Marchood Rd","Exton","Pennsylvania","19341","Chester","2021-04-26T00:00:00.000",,"610-363-9444","1170","false","POINT (-75.6390018 40.0472498)","1170","0","0"
"Canadohta Lake Health Center","35255 Brown Hill Road","Union City","Pennsylvania","16438","Erie","2021-05-03T00:00:00.000",,"814-694-2339","200","false","POINT (-79.85042 41.792141)","0","200","0"
"Holy Redeemer Hospital and Med Center","1648 Huntingdon Pike","Meadowbrook","Pennsylvania","19046","Montgomery","2021-05-03T00:00:00.000",,"215-344-9490","1170","false","POINT (-75.081162 40.108997)","1170","0","0"
"Superior Care Pharmacy Incorporated","518 Burke Bypass","Olyphant","Pennsylvania","18447","Lackawanna","2021-05-03T00:00:00.000",,"570-383-6700",,"false","POINT (-75.596149 41.470887)",,,
"Bushy Run Pharmacy Inc","2106 Route 130","Harrison City","Pennsylvania","15636","Westmoreland","2021-03-22T00:00:00.000",,"724-459-7400","2670","false","POINT (-79.648627 40.353818)",,,
"Weis Pharmacy-29","800 S. 12th Street","Lebanon","Pennsylvania","17042",,"2021-03-17T00:00:00.000",,,,"true","POINT (-76.428582 40.327999)",,,
"Redners Pharmacy 46","22 Forest Drive","Hegins","Pennsylvania","17938","Schuylkill","2021-04-19T00:00:00.000",,"484-248-5873",,"false","POINT (-76.516331 40.64987)",,,
"Family Health Associates Bonneview","810 Bonneview Road","York","Pennsylvania","17406","York","2021-05-03T00:00:00.000",,"717-852-7766","100","false","POINT (-76.706696 39.984085)","0","100","0"
"Bellefonte Medical Clinic","Bellefonte Medical Clinic","Bellefonte","Pennsylvania","16823","Centre","2021-05-03T00:00:00.000",,"814-353-3337","200","false","POINT (-77.783783 40.906834)","0","200","0"
"Masland Associates","220 Wilson Street","Carlisle","Pennsylvania","17013","Cumberland","2021-04-26T00:00:00.000",,"717-249-1929","100","false","POINT (-77.20296 40.198559)","0","100","0"
"Holy Redeemer Hospital and Med Center","1648 Huntingdon Pike","Meadowbrook","Pennsylvania","19046","Montgomery","2021-03-22T00:00:00.000",,"215-344-9490","1170","false","POINT (-75.081162 40.108997)",,,
"Chalfont Pharmacy Inc","1700 Horizon Dr","Chalfont","Pennsylvania","18914","Bucks","2021-04-19T00:00:00.000",,"267-956-8777",,"true","POINT (-75.217764 40.261265)",,,
"Rx Partners","500 Old Pond Road","Bridgeville","Pennsylvania","15017","Allegheny","2021-05-03T00:00:00.000",,"412-257-1263","100","false","POINT (-80.120075 40.354735)","0","100","0"
"Holy Redeemer Hospital and Med Center","1648 Huntingdon Pike","Meadowbrook","Pennsylvania","19046",,"2021-03-17T00:00:00.000",,"215-344-9490","400","false","POINT (-75.081162 40.108997)",,,
"Passport Health","847 Easton Rd","Warrington","Pennsylvania","18976","Bucks","2021-03-29T00:00:00.000",,"215-491-1111","200","false","POINT (-75.136486 40.237544)",,,
"Brockie Pharmatech","209 N. Beaver St.","York","Pennsylvania","17401","York","2021-04-07T00:00:00.000",,"717-854-9028",,"false","POINT (-76.731047 39.964747)",,,
"Nuway Pharmacy","1639 Hains Road","Levittown","Pennsylvania","19055","Bucks","2021-05-03T00:00:00.000",,"215-547-0250",,"false","POINT (-74.833405 40.137131)",,,
"Whitemarsh Pharmacy","553 Germantown Pike","Lafayette Hill","Pennsylvania","19444","Montgomery","2021-04-26T00:00:00.000",,"610-828-5222",,"true","POINT (-75.252057 40.086532)",,,
"Harrolds Pharmacy","250 Old River Road","Wilkes Barre","Pennsylvania","18702","Luzerne","2021-05-03T00:00:00.000",,,"300","false","POINT (-75.908014 41.241584)","0","300","0"
"Corry Mem Hospital Rural Hlth Clinic","965 Shamrock Lane","Corry","Pennsylvania","16407","Erie","2021-05-03T00:00:00.000",,"814-664-4641 Ext. 1234","100","false","POINT (-79.612373 41.93518)","0","100","0"
"Brockie Pharmatech at Plumcreek","100 Homewood Way","Hanover","Pennsylvania","17331","York","2021-05-03T00:00:00.000",,"717-632-5000",,"false","POINT (-76.991828 39.782564)",,,
"The Medicine Center","2209 Macdade Blvd","Holmes","Pennsylvania","19043","Delaware","2021-05-03T00:00:00.000",,"610-461-4123","100","false","POINT (-75.309651 39.897997)","0","100","0"
"Public Drug","6925 Ludlow Street","Upper Darby","Pennsylvania","19082","Delaware","2021-04-26T00:00:00.000",,"610-352-5015",,"false","POINT (-75.260183 39.961325)",,,
"Brockie Pharmatech at Langhorne","275 N Pine Street","Langhorne","Pennsylvania","19047","Bucks","2021-04-07T00:00:00.000",,"215-757-8553",,"true","POINT (-74.918377 40.180159)",,,
"Pharmerica Greensburg","4000 Hempfield Plaza Blvd","Greensburg","Pennsylvania","15601","Westmoreland","2021-04-19T00:00:00.000",,"724-836-8412",,"true","POINT (-79.581891 40.310044)",,,
"Pharmerica Greensburg","4000 Hempfield Plaza Blvd","Greensburg","Pennsylvania","15601","Westmoreland","2021-04-13T00:00:00.000",,"724-836-8412",,"true","POINT (-79.581891 40.310044)",,,
"Freeland Pharmacy","611 Centre Street","Freeland","Pennsylvania","18224","Luzerne","2021-04-26T00:00:00.000",,"732-344-0877","300","false","POINT (-75.897448 41.017707)","0","300","0"
"Redners Pharmacy 46","22 Forest Drive","Hegins","Pennsylvania","17938","Schuylkill","2021-04-26T00:00:00.000",,"484-248-5873",,"false","POINT (-76.516331 40.64987)",,,
"Redners Pharmacy 21","191 Manheim Road","Schuylkill Haven","Pennsylvania","17972",,"2021-03-17T00:00:00.000",,"484-248-5873",,"true","POINT (-76.161689 40.644358)",,,
"Public Drug","6925 Ludlow Street","Upper Darby","Pennsylvania","19082","Delaware","2021-05-03T00:00:00.000",,"610-352-5015",,"false","POINT (-75.260183 39.961325)",,,
"Fresenius Kidney Care Bryn Mawr Dialysis","780 W Lancaster Avenue","Bryn Mawr","Pennsylvania","19010","Delaware","2021-04-13T00:00:00.000",,"1-800-881-5101",,"true","POINT (-75.316826 40.020663)",,,
"Vcare Discount Pharmacy","108 South 5th Street","Reading","Pennsylvania","19602","Berks","2021-05-03T00:00:00.000",,"610-374-0911","300","false","POINT (-75.928029 40.33337)","0","300","0"
"Holy Redeemer Hospital and Med Center","1648 Huntingdon Pike","Meadowbrook","Pennsylvania","19046","Montgomery","2021-04-07T00:00:00.000",,"215-344-9490","1170","false","POINT (-75.081162 40.108997)",,,
"Public Drug","6925 Ludlow Street","Upper Darby","Pennsylvania","19082","Delaware","2021-04-19T00:00:00.000",,"610-352-5015",,"false","POINT (-75.260183 39.961325)",,,
"Whitemarsh Pharmacy","553 Germantown Pike","Lafayette Hill","Pennsylvania","19444","Montgomery","2021-05-03T00:00:00.000",,"610-828-5222",,"true","POINT (-75.252057 40.086532)",,,
"Superior Care Pharmacy Incorporated","518 Burke Bypass","Olyphant","Pennsylvania","18447","Lackawanna","2021-04-07T00:00:00.000",,"570-383-6700","400","false","POINT (-75.596149 41.470887)",,,
"Pharmerica Greensburg","4000 Hempfield Plaza Blvd","Greensburg","Pennsylvania","15601","Westmoreland","2021-04-07T00:00:00.000",,"724-836-8412",,"true","POINT (-79.581891 40.310044)",,,
"Alberts Pharmacy","201 S. Main Street","Pittston","Pennsylvania","18640","Luzerne","2021-04-19T00:00:00.000",,"717-323-8230","700","false","POINT (-75.793926 41.318492)",,,
"Family Hlth Care Ctr of Punxsutawney","83 Hillcrest Drive","Punxsutawney","Pennsylvania","15767","Jefferson","2021-05-03T00:00:00.000",,"814-938-3550","100","false","POINT (-79.000075 40.960224)","0","100","0"
"Flying Hills Pharmacy","2431 Morgantown Rd","Reading","Pennsylvania","19607","Berks","2021-05-03T00:00:00.000",,"610-401-0333",,"true","POINT (-75.920207 40.26825)",,,
"Meadville Medical Center","751 Liberty Street","Meadville","Pennsylvania","16335","Crawford","2021-04-07T00:00:00.000",,"814-373-2986","1170","false","POINT (-80.146296 41.641636)",,,
"Alberts Pharmacy","201 S. Main Street","Pittston","Pennsylvania","18640",,"2021-03-17T00:00:00.000",,"717-323-8230","1170","false","POINT (-75.793926 41.318492)",,,
"Berlin Pharmacy","413 Broadway Street","Berlin","Pennsylvania","15530","Somerset","2021-04-26T00:00:00.000",,"814-267-4013","100","false","POINT (-78.961006 39.921897)","0","100","0"
"County of Delaware","125 Chester Avenue","Yeadon","Pennsylvania","19050","Delaware","2021-03-22T00:00:00.000",,,"9340","false","POINT (-75.255086 39.923443)",,,
"Haeun Pharmacy","7300 Old York Rd","Melrose Park","Pennsylvania","19027","Montgomery","2021-04-26T00:00:00.000",,"215-635-6532","300","false","POINT (-75.136816 40.062012)","0","300","0"
"Greenhill Pharmacy","54 W 4th St Ste 38","Bridgeport","Pennsylvania","19405","Montgomery","2021-04-19T00:00:00.000",,,"200","false","POINT (-75.343237 40.10542)",,,
"Brockie Pharmatech at Plumcreek","100 Homewood Way","Hanover","Pennsylvania","17331","York","2021-04-13T00:00:00.000",,"717-632-5000",,"false","POINT (-76.991828 39.782564)",,,
"Valley Discount Pharmacy","324 N 7th St","Allentown","Pennsylvania","18102","Lehigh","2021-04-26T00:00:00.000",,"484-202-7777",,"true","POINT (-75.473926 40.606761)",,,
"Newport Pharmacy","57 S 2nd St","Newport","Pennsylvania","17074","Perry","2021-04-26T00:00:00.000",,"717-204-7676","100","false","POINT (-77.129743 40.476971)","0","100","0"
"Jaisohn Medical Center","51 Medical Campus Drive","Lansdale","Pennsylvania","19446","Montgomery","2021-04-19T00:00:00.000",,"215-997-2101","1170","false","POINT (-75.268306 40.250518)",,,
"Warren General Hospital","2 Crescent Park West","Warren","Pennsylvania","16365","Warren","2021-03-29T00:00:00.000",,"814-723-3300","200","false","POINT (-79.1630555 41.8595125)",,,
"St Clair Hospital","St. Clair Hospital","Pittsburgh","Pennsylvania","15243","Allegheny","2021-03-29T00:00:00.000",,"412-942-4000","1170","false","POINT (-80.067034 40.376822)",,,
"Bellefonte Medical Clinic","Bellefonte Medical Clinic","Bellefonte","Pennsylvania","16823","Centre","2021-04-26T00:00:00.000",,"814-353-3337","200","false","POINT (-77.783783 40.906834)","0","200","0"
"Pediatric Specialists of Franklin County","27 Vista Dr","Waynesboro","Pennsylvania","17268","Franklin","2021-05-03T00:00:00.000",,"717-765-6621","100","false","POINT (-77.566604 39.752417)","0","100","0"
"Jaisohn Medical Center","51 Medical Campus Drive","Lansdale","Pennsylvania","19446","Montgomery","2021-04-13T00:00:00.000",,"215-997-2101","500","false","POINT (-75.268306 40.250518)",,,
"Redners Pharmacy 21","191 Manheim Road","Schuylkill Haven","Pennsylvania","17972","Schuylkill","2021-04-19T00:00:00.000",,"484-248-5873",,"true","POINT (-76.161689 40.644358)",,,
"East Shore Pharmacy","2723 Agate Street","Harrisburg","Pennsylvania","17110","Dauphin","2021-04-07T00:00:00.000",,"717-213-0968","300","false","POINT (-76.893913 40.290912)",,,
"Sheeleys Drug Store","539 Linden St","Scranton","Pennsylvania","18503","Lackawanna","2021-04-26T00:00:00.000",,"570-342-8936","200","false","POINT (-75.661142 41.408422)","0","200","0"
"Brockie Pharmatech at Plumcreek","100 Homewood Way","Hanover","Pennsylvania","17331","York","2021-04-19T00:00:00.000",,"717-632-5000",,"false","POINT (-76.991828 39.782564)",,,
"Redners Pharmacy 21","191 Manheim Road","Schuylkill Haven","Pennsylvania","17972","Schuylkill","2021-03-29T00:00:00.000",,"484-248-5873",,"true","POINT (-76.161689 40.644358)",,,
"Alberts Pharmacy","201 S. Main Street","Pittston","Pennsylvania","18640","Luzerne","2021-04-07T00:00:00.000",,"717-323-8230","700","false","POINT (-75.793926 41.318492)",,,
"Freeland Health Center","404 Ridge Street","Freeland","Pennsylvania","18224","Luzerne","2021-03-29T00:00:00.000",,"570-704-4232","100","false","POINT (-75.8913398 41.0201697)",,,
"Cor Medicine","312 Boulevard Ave","Dickson City","Pennsylvania","18519","Lackawanna","2021-05-03T00:00:00.000",,"570-489-4567","200","false","POINT (-75.627451 41.451102)","0","200","0"
"Alberts Pharmacy","201 S. Main Street","Pittston","Pennsylvania","18640","Luzerne","2021-05-03T00:00:00.000",,"717-323-8230",,"false","POINT (-75.793926 41.318492)",,,
"Meadville Medical Center","751 Liberty Street","Meadville","Pennsylvania","16335","Crawford","2021-03-22T00:00:00.000",,"814-373-2986","2340","false","POINT (-80.146296 41.641636)",,,
"Family Health Associates Kenneth Rd","1689 Kenneth Road","York","Pennsylvania","17408","York","2021-05-03T00:00:00.000",,"717-852-7766","100","false","POINT (-76.773935 39.977604)","0","100","0"
"Holy Redeemer Hospital and Med Center","1648 Huntingdon Pike","Meadowbrook","Pennsylvania","19046","Montgomery","2021-03-29T00:00:00.000",,"215-344-9490","1170","false","POINT (-75.081162 40.108997)",,,
"Hilltop Pharmacy","818 E. Warrington Ave","Pittsburgh","Pennsylvania","15210","Allegheny","2021-04-26T00:00:00.000",,"412-431-5766","200","false","POINT (-79.992974 40.421733)","0","200","0"
"Brockie Pharmatech at Plumcreek","100 Homewood Way","Hanover","Pennsylvania","17331","York","2021-04-26T00:00:00.000",,"717-632-5000",,"false","POINT (-76.991828 39.782564)",,,
"Brockie Pharmatech at Pleasant Acres","118 Pleasant Acres Rd","York","Pennsylvania","17402","York","2021-05-03T00:00:00.000",,"717-840-7144",,"true","POINT (-76.64829 39.988697)",,,
"Cor Medicine","312 Boulevard Ave","Dickson City","Pennsylvania","18519","Lackawanna","2021-04-26T00:00:00.000",,"570-489-4567","200","false","POINT (-75.627451 41.451102)","0","200","0"
"Black Creek Health Center","75 Pineapple Street","Nuremberg","Pennsylvania","18241","Schuylkill","2021-04-13T00:00:00.000",,"570-704-4235","300","false","POINT (-76.1719502 40.9397102)",,,
"Whitehall Medical Associates","525 5th Street","Whitehall","Pennsylvania","18052","Lehigh","2021-05-03T00:00:00.000",,"610-434-6678","200","false","POINT (-75.472392 40.628849)","0","200","0"
"Albion Pharmacy","9 East State Street","Albion","Pennsylvania","16401","Erie","2021-05-03T00:00:00.000",,"814-756-3429","400","false","POINT (-80.36597 41.890835)","0","400","0"
"Black Creek Health Center","75 Pineapple Street","Nuremberg","Pennsylvania","18241",,"2021-03-17T00:00:00.000",,"570-704-4235","100","false","POINT (-76.1719502 40.9397102)",,,
"Chalfont Pharmacy Inc","1700 Horizon Dr","Chalfont","Pennsylvania","18914","Bucks","2021-04-26T00:00:00.000",,"267-956-8777",,"true","POINT (-75.217764 40.261265)",,,
"My Health Center at Lowes Pittston","200 Center Point Blvd","Pittston","Pennsylvania","18640","Luzerne","2021-05-03T00:00:00.000",,,"100","false","POINT (-75.754968 41.297705)","0","100","0"
"Bushy Run Pharmacy Inc","2106 Route 130","Harrison City","Pennsylvania","15636","Westmoreland","2021-04-26T00:00:00.000",,"724-459-7400","2670","false","POINT (-79.648627 40.353818)","1170","1500","0"
"Passport Health","847 Easton Rd","Warrington","Pennsylvania","18976","Bucks","2021-03-22T00:00:00.000",,"215-491-1111","200","false","POINT (-75.136486 40.237544)",,,
"Family Hlth Care Ctr of Punxsutawney","83 Hillcrest Drive","Punxsutawney","Pennsylvania","15767","Jefferson","2021-04-26T00:00:00.000",,"814-938-3550","100","false","POINT (-79.000075 40.960224)","0","100","0"
"Alberts Pharmacy","201 S. Main Street","Pittston","Pennsylvania","18640","Luzerne","2021-03-29T00:00:00.000",,"717-323-8230","700","false","POINT (-75.793926 41.318492)",,,
"Exeter Township Health Center","2795 Sullivans Trail","Falls","Pennsylvania","18615","Wyoming","2021-03-22T00:00:00.000",,"570-704-4117","300","false","POINT (-75.857415 41.445364)",,,
"Passport Health","847 Easton Rd","Warrington","Pennsylvania","18976","Bucks","2021-04-13T00:00:00.000",,"215-491-1111","200","false","POINT (-75.136486 40.237544)",,,
"Triangle Pharmacy","89 S Main St","Mountain Top","Pennsylvania","18707","Luzerne","2021-05-03T00:00:00.000",,"570-474-6520","100","false","POINT (-75.913885 41.138496)","0","100","0"
"Nuway Pharmacy","1639 Hains Road","Levittown","Pennsylvania","19055","Bucks","2021-04-26T00:00:00.000",,"215-547-0250","100","false","POINT (-74.833405 40.137131)","0","100","0"
"Passport Health","847 Easton Rd","Warrington","Pennsylvania","18976","Bucks","2021-04-19T00:00:00.000",,"215-491-1111","200","false","POINT (-75.136486 40.237544)",,,
"Harleysville Medical Associates","176 Main Street","Harleysville","Pennsylvania","19438","Montgomery","2021-04-26T00:00:00.000",,,"200","false","POINT (-75.369112 40.262715)","0","200","0"
"Freeland Health Center","404 Ridge Street","Freeland","Pennsylvania","18224","Luzerne","2021-03-22T00:00:00.000",,"570-704-4232","100","false","POINT (-75.8913398 41.0201697)",,,
"Bushy Run Pharmacy Inc","2106 Route 130","Harrison City","Pennsylvania","15636","Westmoreland","2021-04-13T00:00:00.000",,"724-459-7400","2670","false","POINT (-79.648627 40.353818)",,,
"East Shore Pharmacy","2723 Agate Street","Harrisburg","Pennsylvania","17110",,"2021-03-17T00:00:00.000",,"717-213-0968","600","false","POINT (-76.893913 40.290912)",,,
"Meadville Medical Center","751 Liberty Street","Meadville","Pennsylvania","16335","Crawford","2021-04-13T00:00:00.000",,"814-373-2986","1170","false","POINT (-80.146296 41.641636)",,,
"East Shore Pharmacy","2723 Agate Street","Harrisburg","Pennsylvania","17110","Dauphin","2021-04-26T00:00:00.000",,"717-213-0968","500","false","POINT (-76.893913 40.290912)","0","500","0"
"Norristown State Hospital","1001 Sterigere St","Norristown","Pennsylvania","19401","Montgomery","2021-04-26T00:00:00.000",,,"600","false","POINT (-75.348526 40.129447)","0","600","0"
"Superior Care Pharmacy Incorporated","518 Burke Bypass","Olyphant","Pennsylvania","18447","Lackawanna","2021-03-29T00:00:00.000",,"570-383-6700","300","false","POINT (-75.596149 41.470887)",,,
"Walmart Pharmacy #2641","1091 Millcreek Rd","Allentown","Pennsylvania","18106",,"2021-03-17T00:00:00.000",,,,"true","POINT (-75.581114 40.552782)",,,
"Passport Health","847 Easton Rd","Warrington","Pennsylvania","18976","Bucks","2021-04-26T00:00:00.000",,"215-491-1111","200","false","POINT (-75.136486 40.237544)","0","200","0"
"Alcon Laboratories Inc Sinking Spring","714 Columbia Ave","Sinking Spring","Pennsylvania","19608","Berks","2021-04-26T00:00:00.000",,"610-670-3500","100","false","POINT (-76.02383 40.322843)","0","100","0"
"Redners Pharmacy 21","191 Manheim Road","Schuylkill Haven","Pennsylvania","17972","Schuylkill","2021-04-26T00:00:00.000",,"484-248-5873",,"true","POINT (-76.161689 40.644358)",,,
"East Shore Pharmacy","2723 Agate Street","Harrisburg","Pennsylvania","17110","Dauphin","2021-05-03T00:00:00.000",,"717-213-0968","1670","false","POINT (-76.893913 40.290912)","1170","500","0"
"Danville State Hospital","50 Kirkbride Drive","Danville","Pennsylvania","17821","Montour","2021-04-26T00:00:00.000",,,"100","false","POINT (-76.596359 40.948226)","0","100","0"
"Morris Drug","15 East Centre St","Mahanoy City","Pennsylvania","17948","Schuylkill","2021-04-26T00:00:00.000",,"570-773-3860","200","false","POINT (-76.141369 40.812862)","0","200","0"
"Nurses United Against Covid","3439 Verner Street","Drexel Hill","Pennsylvania","19026","Delaware","2021-04-26T00:00:00.000",,,"1270","false","POINT (-75.294067 39.943542)","1170","100","0"
"Bushy Run Pharmacy Inc","2106 Route 130","Harrison City","Pennsylvania","15636","Westmoreland","2021-04-07T00:00:00.000",,"724-459-7400","2670","false","POINT (-79.648627 40.353818)",,,
"St Clair Hospital","St. Clair Hospital","Pittsburgh","Pennsylvania","15243","Allegheny","2021-04-19T00:00:00.000",,"412-942-4000","1170","false","POINT (-80.067034 40.376822)",,,
"Harleysville Medical Associates","176 Main Street","Harleysville","Pennsylvania","19438","Montgomery","2021-05-03T00:00:00.000",,,"100","false","POINT (-75.369112 40.262715)","0","100","0"
"Personalized Internal Medicine","385 Oxford Valley Road","Yardley","Pennsylvania","19067","Bucks","2021-05-03T00:00:00.000",,"215-752-8889","100","false","POINT (-74.865676 40.20882)","0","100","0"
"St Josephs Internal Medicine","300 S Hickory St","Mount Carmel","Pennsylvania","17851","Northumberland","2021-05-03T00:00:00.000",,"570-339-2160","100","false","POINT (-76.41091 40.793883)","0","100","0"
"Superior Care Pharmacy Incorporated","518 Burke Bypass","Olyphant","Pennsylvania","18447","Lackawanna","2021-03-22T00:00:00.000",,"570-383-6700","300","false","POINT (-75.596149 41.470887)",,,
"Tops Pharmacy-603","74 Market St.","Warren","Pennsylvania","16365",,"2021-03-17T00:00:00.000",,,,"true","POINT (-79.144624 41.842703)",,,
"Patient Care Pharmacy","422 S Duke Street","Lancaster","Pennsylvania","17602","Lancaster","2021-05-03T00:00:00.000",,"717-690-2700","400","false","POINT (-76.301947 40.034179)","0","400","0"
